#tileset
TileSet2.bmp
7 2
tile0: vide
tile1: vide
tile2: mur
tile3: vide
tile4: mur
tile5: mur
tile6: vide
tile7: ladder
tile8: end
tile9: vide
tile10: vide
tile11: mur
tile12: mur
tile13: vide
#level
98 36
0 	0 	0 	6 	0 	0 	0 	0 	0 	6 	0 	0 	0 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	11 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	5 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	0 	0 	5 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	
11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	7 	0 	5 	11 	11 	11 	0 	0 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	12 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	12 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	
0 	13 	0 	5 	0 	0 	0 	0 	0 	0 	0 	7 	0 	5 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	0 	0 	5 	11 	7 	11 	11 	11 	11 	11 	11 	11 	12 	0 	0 	6 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
11 	7 	11 	12 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	6 	0 	0 	0 	0 	0 	0 	6 	0 	
0 	7 	0 	0 	0 	7 	0 	0 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	12 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	11 	11 	11 	11 	11 	0 	0 	11 	11 	11 	11 	7 	11 	11 	11 	0 	0 	0 	0 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	7 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	5 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
0 	7 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	7 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	7 	0 	0 	5 	0 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	12 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	11 	7 	11 	11 	11 	11 	
